id,category,name,quantity,priority,status,notes
CHAR-001,character,monster_01_modular_parts,12,P0,model_sheet_ready,"需要拆分为透明 PNG 并设置动画枢轴"
CHAR-002,character,cashier_monster,1,P1,planned,"垂直切片可先使用静态半身像"
ITEM-001,item,snack_bag,1,P0,prototype_ready,"512px 方形资源，正式版需透明背景"
ITEM-002,item,lemon_drink,1,P0,prototype_ready,"512px 方形资源，正式版需透明背景"
ITEM-003,item,rice_ball,1,P0,prototype_ready,"512px 方形资源，正式版需透明背景"
ITEM-004,item,strawberry_milk,1,P0,prototype_ready,"512px 方形资源，正式版需透明背景"
ITEM-005,item,pudding_cup,1,P0,prototype_ready,"512px 方形资源，正式版需透明背景"
ITEM-006,item,star_candy,1,P0,prototype_ready,"512px 方形资源，正式版需透明背景"
ENV-001,environment,checkout_scene,1,P0,mockup_ready,"需要拆分背景与交互层"
UI-001,ui,order_bubble,1,P0,concept_ready,"容纳 1 至 3 个商品"
UI-002,ui,patience_bar,1,P0,concept_ready,"需要满值/低值状态"
UI-003,ui,product_slot,1,P0,concept_ready,"复用组件"
UI-004,ui,coin_counter,1,P1,concept_ready,"数字由引擎绘制"
UI-005,ui,combo_feedback,1,P1,planned,"图标与数字由引擎组合"
FX-001,effect,correct_spark,1,P0,planned,"黄色星光"
FX-002,effect,error_burst,1,P0,planned,"珊瑚红冲击线"
FX-003,effect,angry_steam,2,P1,planned,"左右镜像复用"
FX-004,effect,coin,1,P0,planned,"结算与飞行动画复用"
MOCK-001,mockup,gameplay_main,1,P0,ready,"竖屏玩法布局母版"
